Close,Open,High,Low,Date,Daily return,Target,Running_Max,Drawdown,Max_Drawdown,Cumulative_Max
201.16,200.1,204.48,197.53,30/05/2023,4.136253041,1,214.24,-6.105302465,-28.23469007,214.24
203.93,199.78,203.95,195.12,31/05/2023,1.377013323,1,214.24,-4.81235997,-28.23469007,214.24
207.52,202.59,209.8,199.37,01/06/2023,1.760407983,1,214.24,-3.136669156,-28.23469007,214.24
213.97,210.15,217.25,209.75,02/06/2023,3.108134156,1,214.24,-0.126026886,-28.23469007,214.24
217.61,217.8,221.29,214.52,05/06/2023,1.701173062,0,217.61,0,-28.23469007,217.61
221.31,216.14,221.91,212.53,06/06/2023,1.700289509,1,221.31,0,-28.23469007,221.31
224.57,228,230.83,223.2,07/06/2023,1.473046857,0,224.57,0,-28.23469007,224.57
234.86,224.22,235.23,223.01,08/06/2023,4.582090217,1,234.86,0,-28.23469007,234.86
244.4,249.07,252.42,242.02,09/06/2023,4.06199438,0,244.4,0,-28.23469007,244.4
249.83,247.94,250.97,244.59,12/06/2023,2.221767594,1,249.83,0,-28.23469007,249.83
258.71,253.51,259.68,251.34,13/06/2023,3.554417004,1,258.71,0,-28.23469007,258.71
256.79,260.17,261.57,250.5,14/06/2023,-0.742143713,0,258.71,-0.742143713,-28.23469007,258.71
255.9,248.4,258.95,247.29,15/06/2023,-0.346586705,1,258.71,-1.086158247,-28.23469007,258.71
260.54,258.92,263.6,257.21,16/06/2023,1.813208284,1,260.54,0,-28.23469007,260.54
274.45,261.5,274.75,261.12,20/06/2023,5.338911492,1,274.45,0,-28.23469007,274.45
259.46,275.13,276.99,257.78,21/06/2023,-5.461832756,0,274.45,-5.461832756,-28.23469007,274.45
264.61,250.77,265,248.25,22/06/2023,1.984891698,1,274.45,-3.585352523,-28.23469007,274.45
256.6,259.29,262.45,252.8,23/06/2023,-3.027096482,0,274.45,-6.503916925,-28.23469007,274.45
241.05,250.07,258.37,240.7,26/06/2023,-6.060015588,0,274.45,-12.16979413,-28.23469007,274.45
250.21,243.24,250.39,240.85,27/06/2023,3.800041485,1,274.45,-8.832209874,-28.23469007,274.45
256.24,249.7,259.88,248.89,28/06/2023,2.40997562,1,274.45,-6.635088359,-28.23469007,274.45
257.5,258.03,260.74,253.61,29/06/2023,0.491726506,0,274.45,-6.17598834,-28.23469007,274.45
261.77,260.6,264.45,259.89,30/06/2023,1.658252427,1,274.45,-4.62014939,-28.23469007,274.45
279.82,276.49,284.25,275.11,03/07/2023,6.895366161,1,279.82,0,-28.23469007,279.82
282.48,278.82,283.85,277.6,05/07/2023,0.950611107,1,282.48,0,-28.23469007,282.48
276.54,278.09,279.97,272.88,06/07/2023,-2.102803738,0,282.48,-2.102803738,-28.23469007,282.48
274.43,278.43,280.78,273.77,07/07/2023,-0.762999928,0,282.48,-2.849759275,-28.23469007,282.48
269.61,276.47,277.52,265.1,10/07/2023,-1.756367744,0,282.48,-4.556074766,-28.23469007,282.48
269.79,268.65,270.9,266.37,11/07/2023,0.066763102,1,282.48,-4.492353441,-28.23469007,282.48
271.99,276.33,276.52,271.46,12/07/2023,0.815449053,0,282.48,-3.713537242,-28.23469007,282.48
277.9,274.59,279.45,270.6,13/07/2023,2.172874003,1,282.48,-1.621353724,-28.23469007,282.48
281.38,277.01,285.3,276.31,14/07/2023,1.25224901,1,282.48,-0.3894081,-28.23469007,282.48
290.38,286.63,292.23,283.57,17/07/2023,3.198521572,1,290.38,0,-28.23469007,290.38
293.34,290.15,295.26,286.01,18/07/2023,1.01935395,1,293.34,0,-28.23469007,293.34
291.26,296.04,299.29,289.52,19/07/2023,-0.709074794,0,293.34,-0.709074794,-28.23469007,293.34
262.9,279.56,280.93,261.2,20/07/2023,-9.737004738,0,293.34,-10.37703689,-28.23469007,293.34
260.02,268,268,255.8,21/07/2023,-1.095473564,0,293.34,-11.35883275,-28.23469007,293.34
269.06,255.85,269.85,254.12,24/07/2023,3.476655642,1,293.34,-8.277084612,-28.23469007,293.34
265.28,272.38,272.9,265,25/07/2023,-1.404891102,0,293.34,-9.565691689,-28.23469007,293.34
264.35,263.25,268.04,261.75,26/07/2023,-0.350572979,1,293.34,-9.882729938,-28.23469007,293.34
255.71,268.31,269.13,255.3,27/07/2023,-3.268394174,0,293.34,-12.82811754,-28.23469007,293.34
266.44,259.86,267.25,258.23,28/07/2023,4.196159712,1,293.34,-9.170246131,-28.23469007,293.34
267.43,267.48,269.08,263.78,31/07/2023,0.371565831,0,293.34,-8.832753801,-28.23469007,293.34
261.07,266.26,266.47,260.25,01/08/2023,-2.378192424,0,293.34,-11.00088634,-28.23469007,293.34
254.11,255.57,259.52,250.49,02/08/2023,-2.66595166,0,293.34,-13.37355969,-28.23469007,293.34
259.32,252.04,260.49,252,03/08/2023,2.05029318,1,293.34,-11.59746369,-28.23469007,293.34
253.86,260.97,264.77,253.11,04/08/2023,-2.10550671,0,293.34,-13.45878503,-28.23469007,293.34
251.45,251.45,253.65,242.76,07/08/2023,-0.949342157,0,293.34,-14.28035726,-28.23469007,293.34
249.7,247.45,250.92,245.01,08/08/2023,-0.695963412,1,293.34,-14.87693462,-28.23469007,293.34
242.19,250.87,251.1,241.9,09/08/2023,-3.007609131,0,293.34,-17.4371037,-28.23469007,293.34
245.34,245.4,251.8,243,10/08/2023,1.300631735,0,293.34,-16.36326447,-28.23469007,293.34
242.65,241.77,243.79,238.02,11/08/2023,-1.096437597,1,293.34,-17.28028908,-28.23469007,293.34
239.76,235.7,240.66,233.75,14/08/2023,-1.191015866,1,293.34,-18.26549397,-28.23469007,293.34
232.96,238.73,240.5,232.61,15/08/2023,-2.836169503,0,293.34,-20.5836231,-28.23469007,293.34
225.6,228.02,233.97,225.38,16/08/2023,-3.159340659,0,293.34,-23.09265699,-28.23469007,293.34
219.22,226.06,226.74,218.83,17/08/2023,-2.828014184,0,293.34,-25.26760755,-28.23469007,293.34
215.49,214.12,217.58,212.36,18/08/2023,-1.701487091,1,293.34,-26.53916956,-28.23469007,293.34
231.28,221.55,232.13,220.58,21/08/2023,7.327486194,1,293.34,-21.15633736,-28.23469007,293.34
233.19,240.25,240.82,229.55,22/08/2023,0.82583881,0,293.34,-20.50521579,-28.23469007,293.34
236.86,229.34,238.98,229.29,23/08/2023,1.57382392,1,293.34,-19.25410786,-28.23469007,293.34
